OBJECTID,CALCACREAG,PARNO,MAPNUMBER,MAP_PARCEL,CNTRL_NO,TYPE_,APPLICATIO,PROJECT_NA,ST_ADD,RESULTS,ZONING_FRO,ZONING_TO,HOUSING_UN,CCACTDATE,CC_ACTION,PC_ACTION,PCACTDATE,ARCACTDATE,ARC_ACTION,AGE_RESTRI,AGE_REST_2,FINALAPPRO,DATEOFAPPL,INLOS,ENTEREDDT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,PLANNER,RESIDENTIAL,STF_RCMNDTNS,FINALACTIONDATE,DATECERTPH,EBUILD_LINK,SHAPESTArea,SHAPESTLength
23,12.53398619,381,0360000,0360000003810,360000003810,Rezoning,R(C)-07-04R,Arlington Properties Apts,SE terminus of Medical Pkwy,Modification of proffer to increase the residential units from 190 to 212,O&I,RMF-1,212,2009/10/27 00:00:00+00,A,A,2009/10/14 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,AP,2009/10/27 00:00:00+00,,,545980.43840499,3328.38951196977
24,3.3021572,,,0590000000470,590000000470,Subdivision,S-03-84,Forest Estates,841 Water Road,Plan to allow a subdivision of seven lots,R-15s,R-15s,7,,NA,NA,,2003/09/12 00:00:00+00,A,0,0,Approved,07/01/2003,Y,,,,JVUTUROBRADY,2022/06/29 15:31:44+00,,YES,,2003/09/12 00:00:00+00,,,143841.96758691,1548.3588061351
25,1.18057764,,,0850000000083,850000000083,Use Permit,UP-03-51,Brinn Woodshop,717 Benefit Road,Permit for a home occupation use within an existing residence,A-1,A-1,0,,NA,NA,,2005/04/19 00:00:00+00,W,0,0,Withdrawn,10/01/2003,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,,2005/04/19 00:00:00+00,,,51425.9622130748,909.940206746611
27,2.98448201,4,0251001,0251001000040,251001000040,Subdivision,S(V)-11-20,Holy Temple Church,2644 Gilmerton Road,Subdivision variance from Section 70-167 to waive curb and gutter requirement,,,0,,,A,2011/06/08 00:00:00+00,,,0,0,Approved,06/08/2011,N,2011/06/21 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,D,2011/06/08 00:00:00+00,,,130004.036461555,1450.12071127276
30,2.32578191,,0270000,0270000000700,270000000700,Rezoning,R(C)-01-34,Belmont At Greenbrier,1716 & 1720 Battlefield Blvd N,Zoning reclassification of 15 acres,R-8s,R-MF-1 R-MF-2 & O & I,0,2002/07/23 00:00:00+00,A,A,2002/06/26 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,,2002/07/23 00:00:00+00,,,698110.719300891,4131.19740283145
32,3.36811856,,,0590000000430,590000000430,Rezoning,R(C)-04-27,Fluker Property Rezoning,1037 Waters Rd,Zoning reclassification of a 3.1662 acre parcel from RE-1 to R-15s,RE-1,R-15s,0,2005/02/15 00:00:00+00,A,D,2004/11/10 00:00:00+00,,NA,0,0,Approved,10/01/2004,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,,2005/02/15 00:00:00+00,,,146715.24453449,1539.99758943368
33,2.17691274,,,0330000001701,330000001701,Subdivision,S-06-189,Galberry Road Parcel A,Galberry Rd,Minor Subdivision of 3 lots,,,3,,NA,NA,,,NA,0,0,Approved,12/21/2006,Y,,,,JVUTUROBRADY,2022/06/29 15:31:44+00,,YES,,2006/12/21 00:00:00+00,,,94826.3188461984,1277.14974159154
34,4.75474111,,,0850000000280,850000000280,Subdivision,S-06-15,Curling Property,Sign Pine Rd,Subdivision plan for 3 lots on 8.5 acres,A-1,A-1,0,,NA,NA,,2006/02/07 00:00:00+00,A,0,0,Approved,,Y,,,,JVUTUROBRADY,2022/06/29 15:31:44+00,,YES,,2006/02/07 00:00:00+00,,,376800.731505193,2779.73142876503
37,49.85004565,,,0290000000100,290000000100,Site Plan,SP-05-06,The Retreat at Greenbrier,1493 Kempsville Rd,Plan for 201 age restricted condo units on 41.8 acres zoned R-MF-1,R-MF-1,R-MF-1,201,,NA,NA,,2005/07/25 00:00:00+00,A,YES,201,Approved,,Y,,,,JVUTUROBRADY,2022/06/29 15:31:44+00,,YES,,2005/07/25 00:00:00+00,,,2171467.98845942,6553.95611331039
38,0.15176507,,,0370000000190,370000000190,Rezoning,R(C)-07-21,Greentree Commons (Chapel Pk),S side of Kempsville Rd at Green Tree Rd,Zoning reclassification of 10.1 ac from B-4 and R-15s to B-2 and R-MF-1,B-4 R-15s,B-2 R-MF-1,0,2007/12/18 00:00:00+00,A,A,2007/11/14 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,AP,2007/12/18 00:00:00+00,,,439305.451670607,4012.80377967764
46,3.50282086,,,0040000000031,40000000031,Use Permit,UP-02-38,Western Branch Blvd WaWa,3400 Western Branch Blvd,Use permit to operate motor vehicle supply center on1.534 acres,B-4,B-4,0,2004/09/21 00:00:00+00,A,A,2002/10/09 00:00:00+00,,NA,0,0,Approved,10/01/2002,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,,2004/09/21 00:00:00+00,,,152582.876733339,1671.96231633803
47,1.81157762,99,0252011,0252011000990,252011000990,Use Permit,UP-08-35,Trinity Baptist Church,182 ft S of 1023 Deep Creek Blvd,Permit to construct an off site parking lot,R-10,R-10,0,2009/03/17 00:00:00+00,A,A,2009/02/11 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,AS,2009/03/17 00:00:00+00,,,191567.642295409,1909.63330891175
48,1.95554252,,,0370000000170,370000000170,Use Permit,UP-04-15,Green Tree 7 Eleven,Intersection of Kempsville Rd and Green Tree Rd,Permit to construct and operate motor vehicle ctr,B-4,B-4,0,2004/08/17 00:00:00+00,A,A,2004/05/12 00:00:00+00,,NA,0,0,Approved,04/01/2004,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,,2004/08/17 00:00:00+00,,,85183.4320696164,1602.75611443426
49,5.76048021,9C,1190000,1190000000093,1190000000093,Use Permit,UP-08-16,Alltel Tower Rt 168 Toll,4553 Old Battlefield Blvd,Permit to allow a 250 ft self support comm tower on 0.495ac,A-1,A-1,0,2008/10/21 00:00:00+00,D,A,2008/09/10 00:00:00+00,,NA,0,0,Denied,,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,D,2008/10/21 00:00:00+00,,,857814.669173007,8619.26149959492
51,1.72598907,,1570000,1570000000092,1570000000092,Use Permit,UP-08-12,Affordable Towing & Recovery,E side of Buell Ave approx 119 ft S of Freeman Ave,Permit to allow a towing service with an outside storage yard on a 1.03ac parcel,M-2,M-2,0,2008/07/05 00:00:00+00,A,A,2008/06/11 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,AS,2008/07/05 00:00:00+00,,,119852.770498086,2853.74535277423
54,5.20558684,,0380000,0380000001630,380000001630,Site Plan,SP-08-04,Reserve North at Warrington ,W side of Long Beaches Ave,Plan for 28 elderly housing units on 1.832ac,,,0,,NA,NA,,2008/04/18 00:00:00+00,A,0,0,Approved,,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2008/04/18 00:00:00+00,,,226755.362894928,2016.40910592247
55,10.22515956,,,0350000000013,350000000013,Subdivision,S-03-47,Winrose Farms(Heron's Cove),S side of Shipyard Rd 1/4 mi W of Millville Rd,Plan to allow 50 lots on 24.11 acres,R-15s,R-15s,0,,NA,NA,,2004/04/23 00:00:00+00,A,0,0,Approved,10/01/2003,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2004/04/23 00:00:00+00,,,1013771.06613879,5905.62653039807
60,2.61922176,,,0600000000160,600000000160,Subdivision,S-02-106,Glasser Landing,737 and 749 Hillwell Rd,Subdivision plan for 12 lots on 6.08 acres,R-15s,R-15s,0,,NA,NA,,2002/11/08 00:00:00+00,A,0,0,Approved,10/01/2002,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2002/11/08 00:00:00+00,,,254630.837283104,3273.34528521542
63,3.22636782,,,0600000001120,600000001120,Rezoning,R(C)-06-01,Hanbury Manor,161 163 167 169 W Hanbury Rd,Zoning reclassification of 27.34 acres from A-1 to R-12s,A-1,R-12s,0,2006/11/21 00:00:00+00,W,D,2006/08/09 00:00:00+00,,NA,0,0,Withdrawn,04/01/2006,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,,2006/11/21 00:00:00+00,,,1154556.08771916,5362.0876202055
69,7.58136915,,,0240000000561,240000000561,Use Permit,UP-07-51,Meeks Disposal Corp Recycling ,1328 Cavalier Blvd,Permit for a construction and demolition facility,M-1,M-1,0,2008/01/15 00:00:00+00,A,A,2007/12/12 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,AS,2008/01/15 00:00:00+00,,,330244.440045042,2830.0479090325
71,23.25757895,,,0350000000590,350000000590,Subdivision,S(V)-07-146,Bryans Cove Sbdvn Variance,1800 Shipyard Rd,Request for a variance for relief from sidewalk requirement,PUD-R,PUD-R,0,,NA,W,2007/12/12 00:00:00+00,,NA,0,0,Withdrawn,,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,W,2007/12/12 00:00:00+00,,,6265226.34493388,12788.7721419117
72,12.11325961,,,0220000002050,220000002050,Rezoning,R(C)-07-11,Jolliff Woods Phase VI,N of the terminus of Lakeshore Dr,Zoning reclassification from A-1 to R-15s,A-1,R-15s,0,2007/08/21 00:00:00+00,D,A,2007/07/11 00:00:00+00,,NA,0,0,Denied,,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,D,2007/08/21 00:00:00+00,,,527653.588508051,3022.96191046068
73,0.13888205,,,1340000004450,1340000004450,Use Permit,UP-06-28,Rose Garden Ministry,1414 Hoover Ave,Permit for anexisting home on .1722 ac housing for single women with children,O & I,O & I,0,2006/10/17 00:00:00+00,A,A,2006/09/13 00:00:00+00,,NA,0,0,Approved,10/01/2006,N,,,,JVUTUROBRADY,2023/12/22 14:09:28+00,,NO,,2006/10/17 00:00:00+00,,,6049.70198618295,359.627898712039
74,80.61254686,,,0350000000580,350000000580,Use Permit,UP-06-25,Bryans Cove Guyed Tower Reloca,Intesec of Shipyard and Millville Rd,Permit to allow relocatio of existing 500 ft high communication tower,M-2,M-2,0,2006/10/17 00:00:00+00,A,A,2006/09/13 00:00:00+00,,NA,0,0,Approved,10/01/2006,N,,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,,2006/10/17 00:00:00+00,,,3511482.54105806,10260.8276398488
75,41.68058013,,,1060000000090,1060000000090,Use Permit,UP-06-29,Diamond Estates,Intersec of Ballahack Rd and Bunch Walnuts Rd ,Permit to allow two additional lots,A-1,A-1,0,2006/09/13 00:00:00+00,W,W,2006/09/13 00:00:00+00,,NA,0,0,Withdrawn,,N,,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,,2006/09/13 00:00:00+00,,,1815606.07066779,6259.95828913201
79,16.72287544,,,0960000000300,960000000300,Subdivision,S-06-128,Garrett Family Partnership,Taft Rd,Minor Subdivision of 3 lots,A-1,A-1,3,,NA,NA,,,NA,0,0,Approved,09/13/2006,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2006/09/13 00:00:00+00,,,728448.454321994,4004.17044190664
89,10.1152098,9,0580000,0580000000090,580000000090,Rezoning,R(C)-08-23,Washington Woods,Intersec of Washington Dr and Midway Dr,Zoning reclassification of 9.25 ac from A-1 to R-15s,A-1,R-15s,0,2009/04/28 00:00:00+00,D,A,2009/03/11 00:00:00+00,,NA,0,0,Denied,,N,,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,AP,2009/04/28 00:00:00+00,,,440618.539105521,2915.85836818088
91,2.69553368,90C,0580000,0580000000903,580000000903,Subdivision,S-08-104,Dominion Commerce Pk Ph 2 3,101 Scenic Parkway,Plan for 38 commercial parcels on 180ac zoned PUD,PUD,PUD,0,,NA,NA,,2008/12/29 00:00:00+00,D,0,0,Denied,,N,,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,YES,,2008/12/29 00:00:00+00,,,10359794.4983896,25669.447029564
97,18.92868829,2,1500000,1500000000020,1500000000020,Use Permit,UP-08-31,Southern Aggr Mat'l Facility,3900 Shannon Street,Permit to allow a solid waste mgnmt facility,M-2,M-2,0,2009/02/24 00:00:00+00,A,A,2009/01/14 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,AS,2009/02/24 00:00:00+00,,,3270783.77489731,7673.16477140838
98,0.16531911,228,0091001,0091001002280,91001002280,Subdivision,S(V)-08-102,Pughsville Crossing Ph II,S of Pughsville Rd W of Bromay St,Variance to waive sidewalk ordinance,R-6,R-6,0,,NA,A,2009/01/14 00:00:00+00,,,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,A,2009/01/14 00:00:00+00,,,28805.4963321456,1200.23326766776
99,21.78980701,76,0280000,0280000000760,280000000760,Rezoning,R(C)-09-06,Towne Place at Greenbrier,717 Eden Way North,Zoning reclassification of 22 plus ac from B-5 to MXD-U for 220 aptmt units,B-5,MXD-U,0,2009/10/20 00:00:00+00,A,A,2009/10/14 00:00:00+00,,NA,0,0,Approved,,N,2009/05/26 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,AP,2009/10/20 00:00:00+00,,,949163.993429764,5954.99249796642
101,97.04364484,26A,0230000,0230000000261,230000000261,Use Permit,UP-95-36R,Southern Pines Borrow Pit,4076 S Military Hwy,Permit to increase depth of excavation from 45 ft to 65 ft,B-2 M-1 O & I,B-2 M-1 O & I,0,2009/10/20 00:00:00+00,A,A,2009/09/09 00:00:00+00,,NA,0,0,Approved,,N,2009/05/26 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,AS,2009/10/20 00:00:00+00,,,4227221.16925305,9510.11556987565
102,12.26258958,2,0583006,0583006000020,583006000020,Rezoning,R(C)-09-07,Grassfield Manor,Between Washington Dr and Shillelagh Rd,Zoning reclassification of 81.57 ac from A-1 R-15 to R-MF-1,A-1 R-15,R-MF-1,0,,,,,,NA,0,0,Incomplete,,N,2009/05/26 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,,,,,2841224.51170258,7777.27122927082
105,17.58828377,7G,0280000,0280000000077,280000000077,Site Plan,SP-07-10R,The Streets of Greenbrier,1600 Blk of River Birch Run,Plan of parcel A and C that will include 271 apartments & commercial space,PUD,PUD,271,,NA,NA,,2009/08/21 00:00:00+00,A,0,0,Approved,,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2009/08/21 00:00:00+00,,,766145.641059263,5087.31047448013
108,3.08517789,,0360000,0360000000530,360000000530,Subdivision,S-09-17,Rose Garden Estates,N side of Dominion Blvd W of Mullen Rd,Plan for cluster subdivision of 31 lots,R-10s,R-10s,0,,NA,NA,,2009/04/28 00:00:00+00,A,0,0,Approved,,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2009/04/28 00:00:00+00,,,1335679.35894105,5398.53089851067
111,54.51257046,59B,0350000,0350000000592,350000000592,Use Permit,UP-08-27R,Tidewater Green Solid Waste,1500 Steel Street,Permit to operate a solid waste facility,M-2,M-2,0,2009/06/16 00:00:00+00,A,A,2009/06/10 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,AS,2009/06/16 00:00:00+00,,,2374567.56918212,7321.27491427668
112,44.4413342,1,0260000,0260000000010,260000000010,Subdivision,S-09-34,Steel Manor,Between Marlboro St and Steel St,Plan for 18 lots on 28ac,R-8,R-8,18,,NA,NA,,2009/09/15 00:00:00+00,A,0,0,Approved,,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2009/09/15 00:00:00+00,,,2202393.89507224,9785.50503220755
114,14.0297281,191,1390000,1390000001910,1390000001910,Use Permit,UP-09-09,Outdoor Flea Mkt Southgate Ctr,2309 Bainbridge Blvd,Permit to operate an outdoor flea market in shopping ctr,B-2,B-2,0,2009/08/18 00:00:00+00,D,D,2009/06/10 00:00:00+00,,NA,0,0,Denied,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,D,2009/08/18 00:00:00+00,,,611134.956150279,3680.74445980162
115,6.32346729,85,0460000,0460000000850,460000000850,Use Permit,UP-09-14,Cedars of Lebanon Church,1977 Cedar Rd,Permit to allow a new church on a 6.5ac parcel,R-15s,R-15s,0,2009/07/21 00:00:00+00,A,A,2009/06/10 00:00:00+00,,NA,0,0,Approved,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,AS,2009/07/21 00:00:00+00,,,275450.235259105,2487.35683964061
116,2.77284225,2D,0470000,0470000000024,470000000024,Rezoning,R(C)-04-26R,A Place for Girls Annex,210 Water Road,Zoning reclassification to revise the proffers for in ground pool,O-I,O-I,0,2009/08/18 00:00:00+00,A,D,2009/06/10 00:00:00+00,,NA,0,0,Approved,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:29+00,,NO,AP,2009/08/18 00:00:00+00,,,120785.008371281,1718.1644865844
117,3.17875175,63,0360000,0360000000630,360000000630,Use Permit,UP-09-13,New Mt Olive Bapt Church,662 Fernwood Farms Rd,Permit for the expansion of church with two new bldgs,R-15s,R-15s,0,2009/08/18 00:00:00+00,A,A,2009/07/08 00:00:00+00,,NA,0,0,Approved,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,AS,2009/08/18 00:00:00+00,,,138466.426136087,1806.50804028181
119,10.76727167,150,0380000,0380000001500,380000001500,Use Permit,UP-09-10,Forty Five Degrees Rest Bar,1400 Kempsville Rd Unit 105,Permit to operate an eating and drinking establishment,B-1,B-1,0,2009/07/21 00:00:00+00,A,A,2009/06/10 00:00:00+00,,NA,0,0,Approved,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,A,2009/07/21 00:00:00+00,,,469022.353748943,3512.22074151767
121,0.06844294,21,1570000,1570000000210,1570000000210,Use Permit,UP-09-11,W B Brown and Son Recycling,4001 Wilcox Street,Permit application to allow a scrap and waste metal facility,M-2,M-2,0,2009/11/17 00:00:00+00,A,A,2009/10/14 00:00:00+00,,NA,0,0,Approved,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,AS,2009/11/17 00:00:00+00,,,14198.5224071849,490.64727456325
123,0.6139876,54,1500000,1500000000540,1500000000540,Use Permit,UP-09-12,Southern Aggr Compost Fac,3900 Shannon Street,Permit to allow a composting facility,M-2,M-2,0,2010/01/19 00:00:00+00,A,A,2009/12/09 00:00:00+00,,NA,0,0,Approved,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,AS,2010/01/19 00:00:00+00,,,3297529.07492905,7834.69183835881
124,1.9554682,30D,0252011,0252011000304,252011000304,Use Permit,UP-09-08,Greater Praise Comm Church,3330 S Military Hwy,Permit to allow a church on a 1.87ac parcel,B-2,B-2,0,2009/07/21 00:00:00+00,A,A,2009/06/10 00:00:00+00,,NA,0,0,Approved,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,AS,2009/07/21 00:00:00+00,,,85180.1947010443,1211.19957236314
138,0.03137438,18,0163014,0163014000180,163014000180,Rezoning,R(C)-04-14R,Monarch Walk,S side of Airline Blvd,Conditional rezoning to revise proffers,R-MF-1,R-MF-1,0,,P,D,2009/04/08 00:00:00+00,,NA,0,0,Withdrawn,,N,2009/01/21 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,D,2009/04/08 00:00:00+00,,,266833.826834168,7453.57430581753
142,0.64044328,119,0151005,0151005001190,151005001190,Use Permit,UP-09-01,Nail Salon,2116 Christopher Drive,Permit to allow nail salon,R-15s,R-15s,0,2009/04/28 00:00:00+00,A,A,2009/03/11 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,AS,2009/04/28 00:00:00+00,,,27897.7091849301,797.502774813152
143,16.05957556,126,0570000,0570000001260,570000001260,Subdivision,S-09-05,Bareback Est was Equtrn Est 3,E side of Dominion Blvd adj to West Road,Plan for 5 lots on 22.9 acres,A-1,A-1,5,,NA,NA,,2009/03/11 00:00:00+00,A,0,0,Approved,,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2009/03/11 00:00:00+00,,,699555.111566953,3997.75958084883
144,10.37034464,16,0482010,0482010000160,482010000160,PUD,OB(D)-09-01,Oakbrooke Bus and Tech Ctr,Clearfield Ave,Deviation from the dev criteria regarding parking,PUD,PUD,0,,,A,2009/06/10 00:00:00+00,,,0,0,Approved,,N,2009/04/15 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,AS,2009/06/10 00:00:00+00,,,451732.21272994,2869.59793368618
151,14.0297281,191,1390000,1390000001910,1390000001910,Use Permit,UP-09-03,Life Line Ministries,2401 Bainbridge Blvd,Permit to allow a church at 2401 Bainbridge Blvd,B-2,B-2,0,2009/06/16 00:00:00+00,A,A,2009/05/13 00:00:00+00,,NA,0,0,Approved,,N,2009/03/24 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,A,2009/06/16 00:00:00+00,,,611134.956150279,3680.74445980162
152,11.90410275,32A,0260000,0260000000321,260000000321,Use Permit,UP-09-05,JR Const Solid Waste,2508 S. Military Hwy,Permit for a solid waste mgmt facility,M-1,M-1,0,,,Inc,2009/04/02 00:00:00+00,,NA,0,0,Incomplete,,N,2009/03/24 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,,2009/04/02 00:00:00+00,,,518542.715879731,4400.32782214031
153,4.33410291,9,1670000,1670000000090,1670000000090,Use Permit,UP-09-06,Taqueria La Bahia Restaurant,2213 S. Military Hwy Unit B,Permit to operate an eating and drinking establishment,B-2,B-2,0,2009/06/16 00:00:00+00,A,A,2009/05/13 00:00:00+00,,NA,0,0,Approved,,N,2009/03/24 00:00:00+00,,,JVUTUROBRADY,2023/12/22 14:09:30+00,,NO,AS,2009/06/16 00:00:00+00,,,188793.522902003,2042.27826682616
154,33.51660906,,,0600000001460,600000001460,Subdivision,S-02-134,Clark Farm Estates,386 Forest Rd,Subdivision for 72 single family homes on 33.5 acres,R-15s & R-15(a)s,R-15s & R-15(a)s,72,,NA,NA,,2003/01/06 00:00:00+00,A,0,0,Approved,01/01/2003,Y,,,,JVUTUROBRADY,2022/06/29 15:31:45+00,,YES,,2003/01/06 00:00:00+00,,,1459983.49067467,6963.5380068845
